msg_id,start_time,end_time,duration,recv_id
0,1691047834.712957,1691047834.7188978,0.005940914154052734,1
1,1691047834.7130811,1691047834.725031,0.011949777603149414,1
2,1691047834.7132,1691047834.731421,0.018220901489257812,1
3,1691047834.713315,1691047834.731488,0.0181729793548584,1
4,1691047834.713408,1691047834.731533,0.018125057220458984,1
5,1691047834.7134988,1691047834.731572,0.018073081970214844,1
6,1691047834.713609,1691047834.7316082,0.01799917221069336,1
7,1691047834.713718,1691047834.7316532,0.01793527603149414,1
8,1691047834.713811,1691047834.731693,0.017882108688354492,1
9,1691047834.7138891,1691047834.7317371,0.01784801483154297,1
0,1691047834.712957,1691047834.725179,0.012222051620483398,2
1,1691047834.7130811,1691047834.731443,0.018361806869506836,2
2,1691047834.7132,1691047834.731511,0.018311023712158203,2
3,1691047834.713315,1691047834.731555,0.018239974975585938,2
4,1691047834.713408,1691047834.731593,0.018184900283813477,2
5,1691047834.7134988,1691047834.73163,0.018131256103515625,2
6,1691047834.713609,1691047834.7316658,0.018056869506835938,2
7,1691047834.713718,1691047834.731701,0.017982959747314453,2
8,1691047834.713811,1691047834.7317362,0.017925262451171875,2
9,1691047834.7138891,1691047834.7317739,0.01788473129272461,2
0,1691047834.712957,1691047834.725226,0.012269020080566406,0
0,1691047834.712957,1691047834.725396,0.01243901252746582,0
1,1691047834.7130811,1691047834.743326,0.030244827270507812,0
2,1691047834.7130811,1691047834.755139,0.04205799102783203,0
3,1691047834.7132,1691047834.77567,0.0624699592590332,0
4,1691047834.7132,1691047834.775826,0.06262588500976562,0
5,1691047834.713315,1691047834.787319,0.07400393486022949,0
6,1691047834.713315,1691047834.799138,0.08582305908203125,0
7,1691047834.713408,1691047834.8052511,0.0918431282043457,0
8,1691047834.713408,1691047834.811306,0.09789800643920898,0
9,1691047834.7134988,1691047834.811399,0.0979001522064209,0
10,1691047834.713609,1691047834.811439,0.09783005714416504,0
11,1691047834.7134988,1691047834.8115141,0.09801530838012695,0
12,1691047834.713718,1691047834.8116019,0.09788393974304199,0
13,1691047834.713609,1691047834.81168,0.09807109832763672,0
